rank   director                              actor                            films_together  total_films
184    K. Bapaiah                            Govardhan Asrani                 14              29         
185    Philip Ford                           Roy Barcroft                     14              28         
186    David A. Prior                        Ted Prior                        14              28         
187    Jon Iversen                           Ib Schønberg                     14              27         
188    Herbert Achternbusch                  Josef Bierbichler                14              26         
189    Johan Jacobsen                        Gunnar Lauring                   14              25         
190    Kenneth Branagh                       Kenneth Branagh                  14              22         
191    Yrjö Norta                            Aku Korhonen                     14              20         
192    Frankie Chan                          Frankie Chan                     14              18         
193    J. Christian Ingvordsen               J. Christian Ingvordsen          14              18         
194    Tsai Ming-liang                       Kang-sheng Lee                   14              17         
195    Paul Cox                              Chris Haywood                    14              17         
196    Christopher R. Mihm                   Michael G. Kaiser                14              17         
197    Rui Constantino                       Caleb Angel                      14              17         
198    Afdlin Shauki                         Afdlin Shauki                    14              16         
199    Edward Burns                          Edward Burns                     14              14         
200    Sergey Nikonenko                      Sergey Nikonenko                 14              14         
201    Jeff Profitt                          Jeff Profitt                     14              14         
202    Godfrey Ho                            Richard Harrison                 13              111        
203    René Cardona                          Antonio Aguilar                  13              106        
204    Spencer Gordon Bennet                 Jack Ingram                      13              72         
205    Aram Gülyüz                           Sadri Alisik                     13              71         
206    Kon Ichikawa                          Kôji Ishizaka                    13              67         
207    Mehmet Dinler                         Ediz Hun                         13              56         
208    Keisuke Kinoshita                     Keiji Sada                       13              51         
209    Terence Fisher                        Peter Cushing                    13              48         
210    Werner Jacobs                         Gunther Philipp                  13              48         
211    Val Guest                             Reginald Beckwith                13              46         
212    Wai Keung Lau                         Ekin Cheng                       13              45         
213    Carlo Ludovico Bragaglia              Arturo Bragaglia                 13              43         
214    Hanung Bramantyo                      Reza Rahadian                    13              43         
215    Emilio Fernández                      Pedro Armendáriz                 13              41         
216    Sergiu Nicolaescu                     Ion Besoiu                       13              39         
217    Ralph Thomas                          James Robertson Justice          13              38         
218    Wei Lo                                Wei Lo                           13              37         
219    Dasari Narayana Rao                   Mohan Babu                       13              36         
220    Jean Girault                          Louis de Funès                   13              32         
221    Kazuo Mori                            Raizô Ichikawa                   13              32         
222    Jack Neo                              Mark Lee                         13              32         
223    Miklós Jancsó                         József Madaras                   13              31         
224    Ulli Lommel                           Ulli Lommel                      13              30         
225    Satyajit Ray                          Soumitra Chatterjee              13              29         
226    Shigehiro Ozawa                       Kôji Tsuruta                     13              27         
227    Emilio Vieyra                         Ricardo Bauleo                   13              27         
228    Rako Prijanto                         Adipati Dolken                   13              27         
229    Ilmari Unho                           Reino Valkama                    13              26         
230    Gregory Hatanaka                      Chris Spinelli                   13              24         
231    David Howard                          George O'Brien                   13              24         
232    Hasan Dogan                           Ali Riza Tanyeli                 13              24         
233    Piotr Matwiejczyk                     Andrzej Galla                    13              22         
234    Anders Henrikson                      Anders Henrikson                 13              21         
235    Cody Clarke                           Cody Clarke                      13              16         
236    Francisco Cavalcanti                  Francisco Cavalcanti             13              15         
237    Robert Hossein                        Robert Hossein                   13              15         
238    Nanni Moretti                         Nanni Moretti                    13              15         
239    Harry Piel                            Harry Piel                       13              14         
240    Tom Walls                             Tom Walls                        13              14         
241    Richard Mansfield                     Daniel Mansfield                 13              14         
242    Amácio Mazzaropi                      Amácio Mazzaropi                 13              13         
