rank   director                              actor                            films_together  total_films
3911   Mong-Hong Chung                       Chen Yiwen                       4               8          
3912   Agnidev Chatterjee                    Shankar Chakraborty              4               8          
3913   Vishnuvardhan                         Arya                             4               8          
3914   M.L. Pundhevanop Dhewakul             Mario Maurer                     4               8          
3915   Erik Bloomquist                       Erik Bloomquist                  4               8          
3916   Isaac Rodriguez                       Ali Alkhafaji                    4               8          
3917   Dennis L. Reed II                     Lemastor Spratling               4               8          
3918   Pratim D. Gupta                       Ritwick Chakraborty              4               8          
3919   Selva                                 Mayilsamy                        4               8          
3920   Eduardo Castrillo                     Miguel A. Núñez Jr.              4               8          
3921   Naganna                               Ramesh Bhat                      4               8          
3922   Nagashekar                            Sadhu Kokila                     4               8          
3923   Jagdeep Sidhu                         Ammy Virk                        4               8          
3924   Nicolás Onetti                        Pablo Vilela                     4               8          
3925   Nabeel Qureshi                        Irfan Motiwala                   4               8          
3926   Trinadha Rao Nakkina                  Mahaboob Basha                   4               8          
3927   Tom Paton                             Spencer Collings                 4               8          
3928   Duc Thinh                             Duc Thinh                        4               8          
3929   Rajesh Nair                           Vijay Babu                       4               8          
3930   Santhosh P. Jayakumar                 Motta Rajendran                  4               8          
3931   Bobby Prasetyo                        Rukman Rosadi                    4               8          
3932   Sylvester Stallone                    Tony Burton                      4               8          
3933   Jean-Marie Pallardy                   Jacques Insermini                4               8          
3934   Sami Ayanoglu                         Talat Artemel                    4               8          
3935   Yehuda Barkan                         Mushon Alboher                   4               8          
3936   Faouzi Bensaïdi                       Mohamed Choubi                   4               8          
3937   Yilmaz Erdogan                        Cezmi Baskin                     4               8          
3938   Róbert Koltai                         Sándor Gáspár                    4               8          
3939   Rahim Razali                          Ahmad Tamimi Siregar             4               8          
3940   Visu                                  Kishmu                           4               8          
3941   Amberdeep Singh                       Hardip Gill                      4               8          
3942   Evan Snyder                           Ian Snyder                       4               8          
3943   Edward D. Wood Jr.                    Duke Moore                       4               7          
3944   Alfonso Arau                          Alfonso Arau                     4               7          
3945   Hark Bohm                             Uwe Bohm                         4               7          
3946   Ezel Akay                             Haluk Bilginer                   4               7          
3947   K. Amarnath                           Murad                            4               7          
3948   Tinnu Anand                           Amitabh Bachchan                 4               7          
3949   Ferenc András                         György Cserhalmi                 4               7          
3950   Hideaki Anno                          Suzuki Matsuo                    4               7          
3951   Lamberto V. Avellana                  Vic Silayan                      4               7          
3952   Ranga B.S.                            Chittor V. Nagaiah               4               7          
3953   Sooraj R. Barjatya                    Salman Khan                      4               7          
3954   Jean Bastia                           Jean Richard                     4               7          
3955   Þráinn Bertelsson                     Karl Ágúst Úlfsson               4               7          
3956   Maurits Binger                        Jan van Dommelen                 4               7          
3957   Natalya Bondarchuk                    Nikolay Burlyaev                 4               7          
3958   Matthew Bourne                        Dominic North                    4               7          
3959   Hallvard Bræin                        Anders Baasmo                    4               7          
3960   Jan Bucquoy                           Noël Godin                       4               7          
3961   Louis Bélanger                        François Papineau                4               7          
3962   Roger Cantin                          Marc Labrèche                    4               7          
3963   Yakima Canutt                         Dale Van Sickel                  4               7          
3964   Leos Carax                            Denis Lavant                     4               7          
3965   Sergio Castellitto                    Sergio Castellitto               4               7          
3966   Vigen Chaldranyan                     Karen Dzhanibekyan               4               7          
3967   Jeffrey Chiang                        Man-Tat Ng                       4               7          
3968   Milo Djukanovic                       Pavle Vuisic                     4               7          
3969   Valérie Donzelli                      Jérémie Elkaïm                   4               7          
3970   Ferdinand Dörfler                     Beppo Brem                       4               7          
3971   Maurício Farias                       Lúcio Mauro Filho                4               7          
3972   Evgeniy Gerasimov                     Evgeniy Gerasimov                4               7          
3973   Antonello Grimaldi                    Ivano Marescotti                 4               7          
3974   U-Wei Haji Saari                      Khalid Salleh                    4               7          
3975   Ed Hansen                             John F. Goff                     4               7          
3976   Dag Johan Haugerud                    Brynjar Åbel Bandlien            4               7          
3977   Felix Herngren                        Felix Herngren                   4               7          
3978   Hsin-Yi Chang                         Chin-Hai Chen                    4               7          
3979   Helena Ignez                          André Guerreiro Lopes            4               7          
3980   Lloyd Ingraham                        William Courtright               4               7          
3981   Debbie Isitt                          Jason Watkins                    4               7          
3982   Evan Jacobs                           Isaac Golub                      4               7          
3983   Gualtiero Jacopetti                   Stefano Sibaldi                  4               7          
3984   Tomas Villum Jensen                   Niels Olsen                      4               7          
3985   Masoud Jafari Jozani                  Hamid Jebeli                     4               7          
3986   K.V. Anand                            Jagan                            4               7          
3987   Giorgi Kalatozishvili                 Yuriy Nazarov                    4               7          
3988   Valentin Kozachkov                    Oleg Korchikov                   4               7          
3989   Roy Kellino                           James Mason                      4               7          
3990   Nacer Khemir                          Nacer Khemir                     4               7          
3991   Kim Hyun-seok                         Park Chul-min                    4               7          
3992   Kim Ki-duk                            Shin Seong-il                    4               7          
3993   Tim Kincaid                           Rick Gianasi                     4               7          
3994   Swaroop Kumar                         Mithun Chakraborty               4               7          
3995   Luis Alberto Lamata                   Pedro Durán                      4               7          
3996   Robert Lamoureux                      Robert Lamoureux                 4               7          
3997   Ebbe Langberg                         Ove Sprogøe                      4               7          
3998   Miroslav Lekic                        Svetozar Cvetkovic               4               7          
3999   Robert Lepage                         Richard Fréchette                4               7          
4000   Jeff Lipsky                           Reed Birney                      4               7          
4001   Pablo Llorca                          Luís Miguel Cintra               4               7          
4002   J. Mahendran                          Sarath Babu                      4               7          
4003   Yuri Mamin                            Viktor Mikhailov                 4               7          
4004   Seiji Maruyama                        Toshirô Mifune                   4               7          
4005   Zenzô Matsuyama                       Keiju Kobayashi                  4               7          
4006   Brian McGuire                         James Duval                      4               7          
4007   Ken McMullen                          Dominique Pinon                  4               7          
4008   Vittorio Metz                         Galeazzo Benti                   4               7          
4009   Christopher Miles                     Mark Burns                       4               7          
4010   Surendra Mohan                        Rakesh Roshan                    4               7          
4011   Gaël Morel                            Stéphane Rideau                  4               7          
4012   Hugo Moser                            Adolfo García Grau               4               7          
4013   Zivko Nikolic                         Boro Begovic                     4               7          
4014   Syed Noor                             Mustafa Qureshi                  4               7          
4015   Oleg Novkovic                         Nebojsa Glogovac                 4               7          
4016   Franz Novotny                         Hanno Pöschl                     4               7          
4017   Jan Nowina-Przybylski                 Stanislaw Sielanski              4               7          
4018   Abdurrahman Palay                     Abdurrahman Palay                4               7          
4019   Chittajalu Pullayya                   N.T. Rama Rao                    4               7          
4020   Rafael Pérez Grovas                   Carlos Suárez                    4               7          
4021   Eric Quizon                           Eric Quizon                      4               7          
4022   Gösta Rodin                           Emil Fjellström                  4               7          
4023   Craig Ross Jr.                        Aaron D. Spears                  4               7          
4024   Raffaele Rossi                        Márcio Camargo                   4               7          
4025   Félix Sabroso                         Pepón Nieto                      4               7          
4026   Viktor Sadovsky                       Nikolai Ozerov                   4               7          
4027   John Schneider                        Dane Rhodes                      4               7          
4028   Joseph Seiden                         Herman Rosen                     4               7          
4029   Florent-Emilio Siri                   Benoît Magimel                   4               7          
4030   Ivan Solovov                          Viktor Pavlov                    4               7          
4031   Árpád Sopsits                         Lajos Kovács                     4               7          
4032   Torben Anton Svendsen                 Poul Reichhardt                  4               7          
4033   Nikola Tanhofer                       Pavle Vuisic                     4               7          
4034   Juan Taratuto                         Diego Peretti                    4               7          
4035   William C. Thomas                     Phillip Reed                     4               7          
4036   Siu-Ming Tsui                         Wing Cho                         4               7          
4037   Constantin Vaeni                      Remus Margineanu                 4               7          
4038   Georgi Vasilyev                       Boris Babochkin                  4               7          
4039   René Vilbre                           Ago Anderson                     4               7          
4040   Lilly Wachowski                       Hugo Weaving                     4               7          
4041   John Waters                           Jack Holt                        4               7          
4042   Blayne Weaver                         Brandon Barrera                  4               7          
4043   Paul Wegener                          Paul Wegener                     4               7          
4044   Franco Prosperi                       Stefano Sibaldi                  4               7          
4045   Arabinda Mukhopadhyay                 Tarun Kumar Chatterjee           4               7          
4046   Vinsent Mettel                        Vinsent Mettel                   4               7          
4047   Jérôme Bonnell                        Marc Citti                       4               7          
4048   Anna Tchernakova                      Aleksandr Adabashyan             4               7          
4049   Remo D'Souza                          Prabhu Deva                      4               7          
4050   Joe Maggio                            Clint Jordan                     4               7          
4051   R. Sundarajan                         Radha Ravi                       4               7          
4052   Sandra Nashaat                        Ahmed Ezz                        4               7          
4053   Michael Glover                        Michael Glover                   4               7          
4054   Saman Salur                           Mahmoud Nazaralian               4               7          
4055   Scott Beck                            Justin Marxen                    4               7          
4056   Kim Yong-hwa                          Sung Dong-il                     4               7          
4057   Marwan Hamed                          Khaled El-Sawi                   4               7          
4058   Bryan Woods                           Justin Marxen                    4               7          
4059   Meccartin                             Janardanan                       4               7          
4060   Alexandra Leclère                     Michel Vuillermoz                4               7          
4061   Sridhar Rangayan                      Abhay Kulkarni                   4               7          
4062   Aku Akbar                             Jayaram                          4               7          
4063   Neele Leana Vollmar                   Milan Peschel                    4               7          
4064   Jeremy LaLonde                        Jonas Chernick                   4               7          
4065   Dong-hoon Choi                        Kim Yoon-seok                    4               7          
4066   Viktor Shamirov                       Gosha Kutsenko                   4               7          
4067   Uday Pratap Singh                     Praveen Kumar Aawara             4               7          
4068   Michael Ray Fox                       Charles T. Conrad                4               7          
4069   Nigel Hartwell                        Nigel Hartwell                   4               7          
4070   Amat Escalante                        Kenny Johnston                   4               7          
4071   Alex Kendrick                         Alex Kendrick                    4               7          
4072   Matt Eskandari                        Bruce Willis                     4               7          
4073   Elisabetta Sgarbi                     Toni Servillo                    4               7          
4074   Joseph Ciminera                       Robert Arensen                   4               7          
4075   Ali Zamani                            Lee Kholafai                     4               7          
4076   Halder Gomes                          Falcão                           4               7          
4077   Sriwass                               Brahmanandam                     4               7          
4078   Vineeth Sreenivasan                   Nivin Pauly                      4               7          
4079   Louis Nero                            Franco Nero                      4               7          
4080   Mark Byrne                            George Stover                    4               7          
4081   Chimbudeven                           M.S. Bhaskar                     4               7          
4082   Steven Kostanski                      Adam Brooks                      4               7          
4083   Brian T. Jaynes                       Larry Jack Dotson                4               7          
4084   Daniel Falicki                        Daniel Falicki                   4               7          
4085   Harold Jackson III                    Danny Gavigan                    4               7          
4086   Mariana Cengel-Solcanská              Marko Igonda                     4               7          
4087   Sudhanshu Sahu                        Harihara Mahapatra               4               7          
4088   Basant Sahu                           Suresh Bal                       4               7          
4089   Samuel Victor                         Samuel Victor                    4               7          
4090   Jordan F. Ghanma                      Ramez Alkhoury                   4               7          
4091   Carlos Daniel Malavé                  José Roberto Díaz                4               7          
4092   Gopichand Malineni                    Mohammad Ali                     4               7          
4093   Brian Cunningham                      James Tackett                    4               7          
4094   Robin Entreinger                      Valentin Bonhomme                4               7          
4095   Ryon Lee                              Teddy Chin                       4               7          
4096   Evandro Berlesi                       Jairo Mattos                     4               7          
4097   Roman Mikhaylov                       Fyodor Lavrov                    4               7          
4098   Nanda Kishore                         Avinash                          4               7          
4099   Lars Henriks                          Alexander F. Obe                 4               7          
4100   Suneel Kumar Reddy                    Fm Babai                         4               7          
4101   Sanal Kumar Sasidharan                Sujith Koyickal                  4               7          
4102   Jeo Baby                              Sidhartha Siva                   4               7          
4103   Gary Lee Vincent                      Gary Lee Vincent                 4               7          
4104   Avtar Singh                           Karamjit Anmol                   4               7          
4105   Shoib Nikash Shah                     Shoib Nikash Shah                4               7          
4106   Ly Hai                                Ly Hai                           4               7          
4107   Manoj Kumar                           Prem Chopra                      4               7          
4108   P.C. Barua                            Pahadi Sanyal                    4               7          
4109   Peter Dalle                           Johan Ulveson                    4               7          
4110   Evgeniy Gerasimov                     Vyacheslav Nevinnyy              4               7          
4111   Krishna                               Giri Babu                        4               7          
4112   Bruce Le                              Bolo Yeung                       4               7          
4113   Dimitris Kollatos                     Alexandros Kollatos              4               7          
4114   Robert Lamoureux                      Jean Lefebvre                    4               7          
4115   Vinsent Mettel                        Oleh Herasymenko                 4               7          
4116   Ara Paiaya                            Vinnie Wilson                    4               7          
4117   Rabah Ameur-Zaïmeche                  Salim Ameur-Zaïmeche             4               7          
4118   Jason Trost                           Ryan Gibson                      4               7          
4119   Steve Hudgins                         Randy Hardesty                   4               7          
4120   Carl Medland                          Darren Earl Williams             4               7          
4121   Chase Smith                           Lance Paul                       4               7          
4122   Tom Smith                             Patrick Stark                    4               7          
4123   Ernest Prakasa                        Dion Wiyoko                      4               7          
4124   James L. Brooks                       Jack Nicholson                   4               6          
4125   Michael Legge                         Michael Legge                    4               6          
4126   Keenen Ivory Wayans                   Marlon Wayans                    4               6          
4127   Richard Berry                         Richard Berry                    4               6          
4128   Elof Ahrle                            Elof Ahrle                       4               6          
4129   Óscar Aibar                           Pere Ponce                       4               6          
4130   Torbjörn Axelman                      Ulf Brunnberg                    4               6          
4131   Baba Yadav                            Jeet                             4               6          
4132   Mohan Bhakri                          Javed Khan                       4               6          
4133   Fedor Bondarchuk                      Sergey Garmash                   4               6          
4134   Eduardo Calcagno                      Ulises Dumont                    4               6          
4135   Mike Clattenburg                      John Paul Tremblay               4               6          
4136   Jean Cocteau                          Jean Marais                      4               6          
4137   Giuseppe Colizzi                      Terence Hill                     4               6          
4138   Philip J. Cook                        Mark Hyde                        4               6          
4139   Ruy Costa                             Grande Otelo                     4               6          
4140   Robert Cuffley                        Michael Eklund                   4               6          
4141   Robert Dhéry                          Robert Dhéry                     4               6          
4142   Zsombor Dyga                          Ferenc Elek                      4               6          
4143   Ivan Dykhovichnyy                     Dmitriy Dykhovichnyy             4               6          
4144   Mikael Ekman                          Ulf Brunnberg                    4               6          
4145   Marc Esposito                         Jean-Pierre Darroussin           4               6          
4146   Atsushi Fujiura                       Masayoshi Nogami                 4               6          
4147   Stephen Fung                          Stephen Fung                     4               6          
4148   Marijonas Giedrys                     Antanas Surna                    4               6          
4149   Dan Golden                            Rick Dean                        4               6          
4150   Predrag Golubovic                     Velimir 'Bata' Zivojinovic       4               6          
4151   Günter Hendel                         Günter Hendel                    4               6          
4152   Nikos Grammatikos                     Minas Hatzisavvas                4               6          
4153   Tiago Guedes                          Gonçalo Waddington               4               6          
4154   Hysen Hakani                          Lazër Vlashi                     4               6          
4155   Harry Hughes                          Hal Gordon                       4               6          
4156   Vladislav Ikonomov                    Stefan Mavrodiyev                4               6          
4157   Abbas Kamel                           Tawfik El Deken                  4               6          
4158   Muhammad Karim                        Mohamed Abdel Wahab              4               6          
4159   Tôru Kawashima                        Johnny Ôkura                     4               6          
4160   Sohail Khan                           Salman Khan                      4               6          
4161   Georg af Klercker                     Sture Baude                      4               6          
4162   Vitaliy Koltsov                       Vladimir Kashpur                 4               6          
4163   Lena Koppel                           Claes Malmberg                   4               6          
4164   Anri Kulev                            Lyuben Chatalov                  4               6          
4165   Francis Leclerc                       Roy Dupuis                       4               6          
4166   Sun-Fung Lee                          Wood-Yau Cheung                  4               6          
4167   Leonids Leimanis                      Luijs Smits                      4               6          
4168   Aleksandrs Leimanis                   Gunars Cilinskis                 4               6          
4169   Stephen Manuel                        Axel Wedekind                    4               6          
4170   George Moorse                         Rolf Zacher                      4               6          
4171   Joseph Morder                         Joseph Morder                    4               6          
4172   Milan Muchna                          Bronislav Poloczek               4               6          
4173   Dean Murphy                           Paul Hogan                       4               6          
4174   Lautaro Murúa                         Lautaro Murúa                    4               6          
4175   J. Erastheo Navoa                     Niño Muhlach                     4               6          
4176   Anders Nilsson                        Jakob Eklund                     4               6          
4177   Lukas Nola                            Ivo Gregurevic                   4               6          
4178   Mavrikios Novak                       Thodoros Moridis                 4               6          
4179   Kôhei Oguri                           Ittoku Kishibe                   4               6          
4180   Kuo-Sin Ong                           Mark Lee                         4               6          
4181   Bebong Osorio                         Robin Padilla                    4               6          
4182   Gábor Zsigmond Papp                   Gábor Máté                       4               6          
4183   Irena Pavlásková                      Karel Roden                      4               6          
4184   Kan-Ping Yu                           Yueh Sun                         4               6          
4185   Aleksandr Polynnikov                  Andrey Smolyakov                 4               6          
4186   P.S. Ramakrishna Rao                  Akkineni Nageswara Rao           4               6          
4187   Steen Rasmussen                       Michael Wikke                    4               6          
4188   Tabajara Ruas                         Sirmar Antunes                   4               6          
4189   Tamás Rényi                           Gábor Koncz                      4               6          
4190   Don Schain                            William Grannell                 4               6          
4191   Vagelis Seilinos                      Giannis Gionakis                 4               6          
4192   Viktor Sergeev                        Aleksandr Abdulov                4               6          
4193   Maciej Slesicki                       Cezary Pazura                    4               6          
4194   Nikolai Stambula                      Sergey Garmash                   4               6          
4195   Ramesh Talwar                         Rishi Kapoor                     4               6          
4196   Yuri Tarich                           Ivan Klyukvin                    4               6          
4197   Harry Thomason                        Robert Ginnaven                  4               6          
4198   Antonio Bonacin Thome                 Pedro Cassador                   4               6          
4199   Ratno Timoer                          Advent Bangun                    4               6          
4200   Konrad Tom                            Antoni Fertner                   4               6          
4201   Alfonso Ungría                        Chema Muñoz                      4               6          
4202   Erik Van Looy                         Koen De Bouw                     4               6          
4203   Johan Vandewoestijne                  Thierry Wybauw                   4               6          
4204   Taavi Vartia                          Turkka Mastomäki                 4               6          
4205   Alexandre Volkoff                     Ivan Mozzhukhin                  4               6          
4206   Michael Wikke                         Michael Wikke                    4               6          
4207   Michael Worth                         Michael Worth                    4               6          
4208   Pjer Zalica                           Izudin Bajrovic                  4               6          
4209   Gianni Zanasi                         Giuseppe Battiston               4               6          
4210   Roschdy Zem                           Roschdy Zem                      4               6          
4211   Pierre Étaix                          Pierre Étaix                     4               6          
4212   Curtis Franklin                       Curtis Franklin                  4               6          
4213   Joe Menendez                          Oscar Torre                      4               6          
4214   Daniel Sánchez Arévalo                Antonio de la Torre              4               6          
4215   Yannis Economides                     Vangelis Mourikis                4               6          
4216   Sagar                                 Guggu Gill                       4               6          
4217   Leak Lyda                             Paing Takhon                     4               6          
4218   Hai Ninh                              Anh The                          4               6          
4219   Tze-Chung Lam                         Tze-Chung Lam                    4               6          
4220   Borja Cobeaga                         Ramón Barea                      4               6          
4221   Sean Michael Beyer                    Richard Riehle                   4               6          
4222   Ajay Kashyap                          Gulshan Grover                   4               6          
4223   Vladan Nikolic                        Didier Flamand                   4               6          
4224   Sudesh Manjrekar                      Siddharth Jadhav                 4               6          
4225   Jilani Saâdi                          Mohamed Grayaâ                   4               6          
4226   Yew Kwang Han                         Alaric                           4               6          
4227   Samir Karnik                          Bobby Deol                       4               6          
4228   Néstor Montalbano                     Diego Capusotto                  4               6          
4229   Takeshi Yokoi                         Yukihiro Takiguchi               4               6          
4230   Alfonso Sánchez                       Alfonso Sánchez                  4               6          
4231   Sushil Mukherjee                      Satya Banerjee                   4               6          
4232   Tomasz Mandes                         Otar Saralidze                   4               6          
4233   Krzysztof Lukaszewicz                 Leszek Lichota                   4               6          
4234   Sean King                             Taylor King                      4               6          
4235   Subrata Sen                           Subrat Dutta                     4               6          
4236   Ramon Térmens                         Daniel Faraldo                   4               6          
4237   Arun Kumar                            Murali Gopy                      4               6          
4238   Sriram Raghavan                       Zakir Hussain                    4               6          
4239   Nadirsha                              Jaffer Idukki                    4               6          
4240   Steffen Haars                         Tim Haars                        4               6          
4241   Russ Emanuel                          Robert Picardo                   4               6          
4242   Eshom Nelms                           James Lafferty                   4               6          
4243   Ian Nelms                             James Lafferty                   4               6          
4244   Luke Sparke                           Dan Ewing                        4               6          
4245   Jason Liquori                         Jason Liquori                    4               6          
4246   Emilio Portes                         José Sefami                      4               6          
4247   George A. Johnson                     Matt Moore                       4               6          
4248   Aaron Lee Lopez                       Paul Matthew Lopez               4               6          
4249   Greg Hall                             Paul Marlon                      4               6          
4250   Shih-Hao Ko                           Yi-Min Li                        4               6          
4251   Eoin Macken                           Eoin Macken                      4               6          
4252   Miguel Alejandro Gomez                Álvaro Marenco                   4               6          
4253   John Barker                           Kagiso Lediga                    4               6          
4254   Real Florido                          RJ Agustin                       4               6          
4255   Edoardo De Angelis                    Massimiliano Rossi               4               6          
4256   Amy Hesketh                           Jac Avila                        4               6          
4257   Marc Hampson                          Ryan Schwartzman                 4               6          
4258   Josh Hodgins                          Aaron Bennett                    4               6          
4259   A.S. Ravi Kumar Chowdary              Raghu Babu                       4               6          
4260   Tauquir Ahmed                         Abul Hayat                       4               6          
4261   Chuck Walker                          Lorenzo Lamas                    4               6          
4262   Antony Hickling                       Manuel Blanc                     4               6          
4263   Dong Shen                             Youbin Li                        4               6          
4264   Shawn C. Phillips                     Shawn C. Phillips                4               6          
4265   Nimmala Shankar                       Brahmanandam                     4               6          
4266   Nevio Marasovic                       Janko Popovic Volaric            4               6          
4267   Rodrigo Aragão                        Markus Konká                     4               6          
4268   Phontharis Chotkijsadarsopon          Tar Atiwat Saengtien             4               6          
4269   Rob Burrows                           Rob Burrows                      4               6          
4270   Bahman Goodarzi                       Amin Hayayee                     4               6          
4271   Spencer Williams                      Spencer Williams                 4               6          
4272   David Ryan Keith                      Liam Matheson                    4               6          
4273   Ruben Maria Soriquez                  Ruben Maria Soriquez             4               6          
4274   Julio Roman                           Osvaldo Friger                   4               6          
4275   Thiru                                 V. Jayaprakash                   4               6          
4276   Joe Hollow                            Tony Todd                        4               6          
4277   Hitoshi Ône                           Lily Franky                      4               6          
4278   Joe Begos                             Graham Skipper                   4               6          
4279   Mithran Jawahar                       Dhanush                          4               6          
4280   Thor Moreno                           Shawn McAninch                   4               6          
4281   Prakash                               Avinash                          4               6          
4282   Salvatore Vitiello                    Francesco Biscione               4               6          
4283   Matondo Kiantandu                     Ian Gray                         4               6          
4284   Lucio A. Rojas                        Daniel Antivilo                  4               6          
4285   Ruijun Li                             Xingchun Ma                      4               6          
4286   Felipe M. Guerra                      Eliseu Demari                    4               6          
4287   Ranjeet S. Marwa                      Ranjeet S. Marwa                 4               6          
4288   Terry Lee Coker                       Michael McKell                   4               6          
4289   Anik Datta                            Paran Banerjee                   4               6          
4290   Jason Wan Lim                         Joshua Earl Brennand             4               6          
4291   Ho-Pong Mak                           Louis Cheung                     4               6          
4292   Mark Garvey                           Paul Woodcock                    4               6          
4293   Paul Dale                             Austin Naulty                    4               6          
4294   Le Bao Trung                          Hoài Linh                        4               6          
4295   Faisal Ishak                          Hasnul Rahmat                    4               6          
4296   PC Shekar                             Avinash                          4               6          
4297   John Williams                         Darren McAree                    4               6          
4298   Davo Hardy                            Davo Hardy                       4               6          
4299   Vi Anand                              Vennela Kishore                  4               6          
4300   Swaylee Loughnane                     Swaylee Loughnane                4               6          
4301   Yoshiyuki Kishi                       Masaki Suda                      4               6          
4302   Nadeem Baig                           Humayun Saeed                    4               6          
4303   Mohammad Hossein Mahdavian            Javad Ezati                      4               6          
4304   Bedran Güzel                          Ibrahim Büyükak                  4               6          
4305   Michael Leo Centi                     Michael Leo Centi                4               6          
4306   Nina Stakz                            Kellen Marcus                    4               6          
4307   Bernard Campan                        Didier Bourdon                   4               6          
4308   Lucien Jean-Baptiste                  Michel Jonasz                    4               6          
4309   Seok-hoon Nam                         Bruce Le                         4               6          
4310   Tze-Chung Lam                         Danny Kwok-Kwan Chan             4               6          
4311   Alfonso Sánchez                       Alberto López                    4               6          
4312   Niki Iliev                            Bashar Rahal                     4               6          
4313   Namewee                               Cheong Hoe Chee                  4               6          
4314   Ranjeet S. Marwa                      James Jaysen Bryhan              4               6          
4315   Bayu Skak                             Joshua Suherman                  4               6          
4316   Laurence Olivier                      Laurence Olivier                 4               5          
4317   Kevin Costner                         Kevin Costner                    4               5          
4318   Ben Affleck                           Ben Affleck                      4               5          
4319   Burt Reynolds                         Burt Reynolds                    4               5          
4320   Warren Beatty                         Warren Beatty                    4               5          
4321   Stanley Tucci                         Stanley Tucci                    4               5          
4322   Christopher McQuarrie                 Tom Cruise                       4               5          
4323   Michel Blanc                          Michel Blanc                     4               5          
4324   Yuldash Agzamov                       Razzak Khamrayev                 4               5          
4325   Ramesh Aravind                        Ramesh Aravind                   4               5          
4326   Helmuth M. Backhaus                   Gunnar Möller                    4               5          
4327   Bhargava                              Ramesh Bhat                      4               5          
4328   Jacek Borcuch                         Andrzej Chyra                    4               5          
4329   Chitta Bose                           Panchanan Bhattacharya           4               5          
4330   Alexandre Boury                       Renato Aragão                    4               5          
4331   S.F. Brownrigg                        Gene Ross                        4               5          
4332   Erik de Bruyn                         Frank Lammers                    4               5          
4333   Marcus Carothers                      Marcus Carothers                 4               5          
4334   Alfredo Castiglioni                   Riccardo Cucciolla               4               5          
