rank  director                      actor_director_h_index  total_films
240   George Blair                  5                       44         
241   Paul Martin                   5                       44         
242   Sergio Martino                5                       44         
243   Carlo Ludovico Bragaglia      5                       43         
244   Yasujirô Ozu                  5                       43         
245   Carlos Hugo Christensen       5                       42         
246   Amos Gitai                    5                       42         
247   Franz Josef Gottlieb          5                       42         
248   Shin Sang-ok                  5                       42         
249   Ingmar Bergman                5                       41         
250   Hasse Ekman                   5                       41         
251   Georges Lautner               5                       41         
252   Errikos Thalassinos           5                       41         
253   Pasquale Festa Campanile      5                       40         
254   Menahem Golan                 5                       40         
255   André Berthomieu              5                       39         
256   Luis Lucia                    5                       39         
257   Ramón Torrado                 5                       39         
258   Miguel Zacarías               5                       39         
259   Juan Bustillo Oro             5                       38         
260   Rolf Thiele                   5                       38         
261   Ralph Thomas                  5                       38         
262   Clifton Ko                    5                       37         
263   E.W. Emo                      5                       37         
264   Marcel Varnel                 5                       37         
265   Lino Brocka                   5                       36         
266   Sergio Grieco                 5                       36         
267   Toshio Masuda                 5                       36         
268   José Luis Sáenz de Heredia    5                       36         
269   Mario Hernández               5                       36         
270   Adolfo Alix Jr.               5                       35         
271   Kostas Andritsos              5                       35         
272   Edward Bernds                 5                       35         
273   Giorgio Bianchi               5                       35         
274   Robert F. Hill                5                       35         
275   Ahmad Idham                   5                       35         
276   Nobuhiko Ôbayashi             5                       35         
277   Giorgos Papakostas            5                       35         
278   Giorgio Simonelli             5                       35         
279   P. Vasu                       5                       35         
280   D.W. Griffith                 5                       34         
281   Alessandro Blasetti           5                       34         
282   Albert Pyun                   5                       34         
283   Yasuo Furuhata                5                       34         
284   Hong Sang-soo                 5                       34         
285   Tadashi Imai                  5                       34         
286   Mahesh Manjrekar              5                       34         
287   Ray Nazarro                   5                       34         
288   Fatin Abdulwahhab             5                       33         
289   Hasan El-Emam                 5                       33         
290   Mehmet Aslan                  5                       33         
291   Manoel de Oliveira            5                       33         
292   Fernando Durán Rojas          5                       33         
293   Matti Kassila                 5                       33         
294   Hiroshi Shimizu               5                       33         
295   Uwe Boll                      5                       32         
296   Jeffrey Lau                   5                       32         
297   Sven Methling                 5                       32         
298   Luigi Capuano                 5                       31         
299   Enzo G. Castellari            5                       31         
300   Hasan El-Saifi                5                       31         
301   Ivar Johansson                5                       31         
302   Victor Sjöström               5                       31         
303   Poj Arnon                     5                       31         
304   Akira Kurosawa                5                       30         
305   Miroslav Cikán                5                       30         
306   Wallace Fox                   5                       30         
307   Joseph Kuo                    5                       30         
308   Odysseas Kosteletos           5                       30         
309   Tso Nam Lee                   5                       30         
310   Victor Lima                   5                       30         
311   Jun'ya Satô                   5                       30         
312   Rama Rao Tatineni             5                       30         
313   Lav Diaz                      5                       29         
314   Erwin C. Dietrich             5                       29         
315   Chih-Hung Kuei                5                       29         
316   Shaji Kailas                  5                       29         
317   Hristos Kyriakopoulos         5                       29         
318   Michal Waszynski              5                       29         
319   Haranath Chakraborty          5                       29         
320   Raúl de Anda Jr.              5                       28         
321   Luis Bayón Herrera            5                       28         
322   Gilberto de Anda              5                       28         
323   Philip Ford                   5                       28         
324   Leslie S. Hiscott             5                       28         
325   Hannu Leminen                 5                       28         
326   Juan de Orduña                5                       28         
327   Shyam Benegal                 5                       27         
328   Armando Bo                    5                       27         
329   Bernard Borderie              5                       27         
330   Jon Iversen                   5                       27         
331   Tarun Majumdar                5                       27         
332   Sibi Malayil                  5                       27         
333   Chung Sun                     5                       27         
334   Mahmoud Zulfikar              5                       27         
335   Rene Perez                    5                       27         
336   Gilberto Gazcón               5                       26         
337   Ilmari Unho                   5                       26         
338   Ringo Lam                     5                       26         
339   Aziz M. Osman                 5                       26         
340   Roberto Mauri                 5                       26         
341   José Luis Merino              5                       26         
342   José Luis Urquieta            5                       26         
343   T.L.V. Prasad                 5                       26         
344   Brett Bentman                 5                       26         
345   Rainer Werner Fassbinder      5                       25         
346   E.V.V. Satyanarayana          5                       25         
347   A. Bhimsingh                  5                       25         
348   Johan Jacobsen                5                       25         
349   Gabriele Salvatores           5                       25         
350   Vinayan                       5                       25         
351   Sam Mason-Bell                5                       25         
352   Gianfranco Parolini           5                       24         
353   Fernando Fernán Gómez         5                       24         
354   Emanuel Gregers               5                       24         
355   Eddie Romero                  5                       24         
356   Buichi Saitô                  5                       24         
357   Yasushi Sasaki                5                       24         
358   C.V. Sridhar                  5                       24         
359   Hasan Dogan                   5                       24         
360   Gopal B.                      5                       23         
361   Sisworo Gautama Putra         5                       23         
362   Hsing Lee                     5                       23         
363   Oldrich Lipský                5                       23         
364   Ernst Marischka               5                       23         
365   Annelise Reenberg             5                       23         
366   Tomu Uchida                   5                       23         
367   Steven M. Smith               5                       23         
368   Sadatsugu Matsuda             5                       22         
369   Nagisa Ôshima                 5                       22         
370   Florián Rey                   5                       22         
371   Piotr Matwiejczyk             5                       22         
372   Frigyes Bán                   5                       21         
373   Joseph Velasco                5                       21         
374   Babubhai Mistry               5                       21         
375   Shibu Mitra                   5                       21         
376   Tokuzô Tanaka                 5                       21         
377   Knut Bohwim                   5                       20         
378   Jun Fukuda                    5                       20         
379   Yrjö Norta                    5                       20         
380   Jamil Sulong                  5                       20         
381   Al Carretta                   5                       20         
382   Weyler Hildebrand             5                       19         
383   Timo Koivusalo                5                       19         
384   Watson Macedo                 5                       19         
385   Ravikant Nagaich              5                       19         
386   Orvo Saarikivi                5                       19         
387   Zafer Davutoglu               5                       18         
388   Giovanni Grimaldi             5                       18         
389   Jandhyala                     5                       18         
390   Armand Lohikoski              5                       18         
391   Joe Sherlock                  5                       18         
392   Alf Sjöberg                   5                       18         
393   Ismail Bob Hasim              5                       18         
394   Harold S. Bucquet             5                       17         
395   Zoran Calic                   5                       17         
396   B.R. Chopra                   5                       17         
397   Mladomir 'Purisa' Djordjevic  5                       17         
398   K. Madhu                      5                       17         
399   Anjan Choudhury               5                       17         
400   Roberto Angel Salcedo         5                       17         
401   Christopher R. Mihm           5                       17         
402   Ettore Maria Fizzarotti       5                       16         
403   Kengo Furusawa                5                       16         
404   Rajasenan                     5                       16         
405   Sasikumar                     5                       16         
406   Rohit Shetty                  5                       16         
407   Murat Seker                   5                       16         
408   Mahesh Kothare                5                       15         
409   R. Thyagaraajan               5                       15         
410   Tom Walls                     5                       14         
411   Jang Jin                      5                       13         
412   Vijaya Baapineedu             5                       11         
413   Claus Bjerre                  5                       9          
414   Joachim Masannek              5                       9          
415   Manmohan Singh                5                       9          
416   Esses Tamás                   5                       8          
417   Claes Eriksson                5                       6          
418   Allan Dwan                    4                       86         
419   William A. Seiter             4                       81         
420   George Marshall               4                       71         
421   Mervyn LeRoy                  4                       70         
422   Roy Del Ruth                  4                       68         
423   William A. Wellman            4                       67         
424   Maurice Elvey                 4                       65         
425   Gordon Douglas                4                       65         
426   Henry King                    4                       65         
427   Albert S. Rogell              4                       63         
428   Rogelio A. González           4                       61         
429   George Sherman                4                       61         
430   Joe D'Amato                   4                       60         
431   Frank Borzage                 4                       58         
432   Edward F. Cline               4                       58         
433   Arthur Lubin                  4                       58         
434   Charles Barton                4                       57         
435   Jose Javier Reyes             4                       56         
436   Erle C. Kenton                4                       56         
437   Edwin L. Marin                4                       56         
438   Robert Florey                 4                       55         
439   Alfred Hitchcock              4                       54         
440   Christian-Jaque               4                       54         
441   Carmine Gallone               4                       54         
442   Walter Lang                   4                       53         
443   John English                  4                       52         
444   D. Ross Lederman              4                       52         
445   Henry Levin                   4                       52         
446   Sidney Salkow                 4                       52         
447   Frank Tuttle                  4                       52         
448   Arthur Maria Rabenalt         4                       51         
449   Joseph Santley                4                       51         
450   Jean Boyer                    4                       50         
451   Alfonso Brescia               4                       50         
452   José Díaz Morales             4                       50         
453   Leslie Goodwins               4                       50         
454   Roy William Neill             4                       50         
455   Lewis Seiler                  4                       50         
456   Lucio Fulci                   4                       49         
457   Henry Koster                  4                       49         
458   Terence Fisher                4                       48         
459   Louis King                    4                       47         
460   William Berke                 4                       47         
461   Irving Cummings               4                       47         
462   Charles Band                  4                       46         
463   Clarence Brown                4                       46         
464   Jack Conway                   4                       46         
465   Val Guest                     4                       46         
466   J. Lee Thompson               4                       45         
467   Halit Refig                   4                       45         
468   A. Edward Sutherland          4                       45         
469   Herbert Wilcox                4                       45         
470   Fritz Lang                    4                       44         
471   Tito Davison                  4                       44         
472   Sidney Lumet                  4                       43         
473   Hark Tsui                     4                       43         
474   Karel Kachyna                 4                       43         
475   Jim Wynorski                  4                       43         
476   Edward Sedgwick               4                       43         
477   Hanung Bramantyo              4                       43         
478   Arthur Dreifuss               4                       42         
479   José María Forqué             4                       42         
480   Serif Gören                   4                       42         
481   Wolfgang Liebeneiner          4                       42         
482   Norman Z. McLeod              4                       42         
483   Norifumi Suzuki               4                       42         
484   Howard Hawks                  4                       41         
485   Michael Powell                4                       41         
486   Kurt Hoffmann                 4                       41         
487   Georg Jacoby                  4                       41         
488   Julio Bracho                  4                       40         
489   Jean Delannoy                 4                       40         
490   Victor Fleming                4                       40         
491   Reginald Le Borg              4                       40         
492   Mitchell Leisen               4                       40         
493   Ernst Lubitsch                4                       40         
494   Malcolm St. Clair             4                       40         
495   James Cruze                   4                       39         
496   Basil Dearden                 4                       39         
497   John Farrow                   4                       39         
498   Riccardo Freda                4                       39         
499   Marcel L'Herbier              4                       39         
500   Maclean Rogers                4                       39         
501   Robert Stevenson              4                       39         
502   Gustav Ucicky                 4                       39         
503   Herbert Brenon                4                       38         
504   Mario Camerini                4                       38         
505   Anthony Mann                  4                       38         
506   Andrzej Wajda                 4                       38         
507   Martin Scorsese               4                       37         
508   Robert Altman                 4                       37         
509   Frank Capra                   4                       37         
510   Blake Edwards                 4                       37         
511   Steven Soderbergh             4                       37         
512   Kenji Mizoguchi               4                       37         
513   Lewis Gilbert                 4                       37         
514   Helmut Käutner                4                       37         
515   Otto Preminger                4                       37         
516   Fred F. Sears                 4                       37         
517   Ladislao Vajda                4                       37         
518   Javier Aguirre                4                       36         
519   Fernando Ayala                4                       36         
520   Youssef Chahine               4                       36         
521   William Keighley              4                       36         
522   Kô Nakahira                   4                       36         
523   Chito S. Roño                 4                       36         
524   Takahisa Zeze                 4                       36         
525   Tunç Basaran                  4                       35         
526   Vikram Bhatt                  4                       35         
527   B. Reeves Eason               4                       35         
528   John Gilling                  4                       35         
529   Umetsugu Inoue                4                       35         
530   Kodi Ramakrishna              4                       35         
531   John Rawlins                  4                       35         
532   Sion Sono                     4                       35         
533   Chris Stokes                  4                       35         
534   Wu Ma                         4                       35         
535   Ümit Efekan                   4                       35         
536   John Woo                      4                       34         
537   James P. Hogan                4                       34         
538   Eugene Forde                  4                       34         
539   William K. Howard             4                       34         
540   André Hunebelle               4                       34         
